"database_name","search_path","verified_at","verification_mode","db_name","source_db_name","lyfo_db_name","same_db_as_lyfo","cross_db_join_required","cross_db_join_available","schema","table","has_patientid","has_date_birth","has_date_death_fu","candidate_score","selected","reason","usable_for_age_counts","relation_probe_attempted","relation_probe_success","relation_probe_error_sanitized","column_probe_attempted","column_probe_success","column_probe_error_sanitized","co_residency_probe_attempted","co_residency_probe_success","co_residency_probe_error_sanitized","deterministic_tie_break_requires_review","post_selection_execution_attempted","post_selection_execution_success","post_selection_execution_error_sanitized","notes"
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"pending","SP_AdministreretMedicinDestination_catkar",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","SDS_kontakter",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","SDS_pato",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","SDS_t_adm",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","SDS_t_tumor",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","SP_BehandlingskontakterOgDiagnoser",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","view_sds_kont_diag",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","view_sds_t_adm_t_diag",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","PERSIMUNE_microbiology_analysis_part1",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","PERSIMUNE_microbiology_analysis_part2",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","PERSIMUNE_microbiology_cultures_part1",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","import","import","import",TRUE,FALSE,FALSE,"public","PERSIMUNE_microbiology_cultures_part2",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
