"source_name"	"object_name"	"concept"	"hit_type"	"matched_column"	"notes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Cyto_StrukturForandringer_p13"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Cyto_StrukturForandringer_p17"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Cyto_StrukturForandringer_other"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Cyto_AntalKlonaleForandringer"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"r_iss_or_stage"	"column_name"	"Stadie"	"Staging fields"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"Reg_OrganisationKode_SOR"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"Reg_OrganisationKode_Shak"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"PB_OrganisationKode_SOR"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"PB_OrganisationKode_Shak"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"SB_OrganisationKode_SOR"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"SB_OrganisationKode_SHAK"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"FU_OrganisationKode_SOR"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"FU_OrganisationKode_SHAK"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"Cyto_OrganisationKode_SOR"	"Procedure / treatment code system"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"sks"	"column_name"	"Cyto_OrganisationKode_SHAK"	"Procedure / treatment code system"
