"npu_code"	"name"	"panel"	"n_rows"	"n_patients"	"source"
"NPU02890"	"IgA"	"Immunoglobulins"	"0"	""	"PERSIMUNE_biochemistry"
"NPU02944"	"IgM"	"Immunoglobulins"	"0"	""	"PERSIMUNE_biochemistry"
"NPU19795"	"IgA (alt)"	"Immunoglobulins"	"239347"	"16587"	"PERSIMUNE_biochemistry"
"NPU19814"	"IgG (alt)"	"Immunoglobulins"	"278298"	"16790"	"PERSIMUNE_biochemistry"
"NPU19825"	"IgM (alt)"	"Immunoglobulins"	"243476"	"16577"	"PERSIMUNE_biochemistry"
"NPU19607"	"Free kappa chains"	"MM/Light chains"	"113678"	"6770"	"PERSIMUNE_biochemistry"
"NPU19832"	"Free kappa chains (alt)"	"MM/Light chains"	"147"	"20"	"PERSIMUNE_biochemistry"
"NPU19606"	"Free lambda chains"	"MM/Light chains"	"111316"	"6774"	"PERSIMUNE_biochemistry"
"NPU19831"	"Free lambda chains (alt)"	"MM/Light chains"	"20"	"16"	"PERSIMUNE_biochemistry"
"NPU01983"	"Free light chains (legacy)"	"MM/Light chains"	"0"	""	"PERSIMUNE_biochemistry"
"NPU28638"	"M-component IgG kappa"	"MM/M-component"	"28149"	"1782"	"PERSIMUNE_biochemistry"
"NPU28639"	"M-component IgG lambda"	"MM/M-component"	"12754"	"970"	"PERSIMUNE_biochemistry"
"NPU28925"	"M-component IgG total"	"MM/M-component"	"30"	"19"	"PERSIMUNE_biochemistry"
"NPU19807"	"M-component (serum)"	"MM/M-component"	"1639"	"85"	"PERSIMUNE_biochemistry"
"NPU19809"	"M-component (urine)"	"MM/M-component"	"593"	"48"	"PERSIMUNE_biochemistry"
"NPU28634"	"M-component IgA kappa"	"MM/M-component"	"6526"	"361"	"PERSIMUNE_biochemistry"
"NPU28635"	"M-component IgA lambda"	"MM/M-component"	"4546"	"265"	"PERSIMUNE_biochemistry"
"NPU28923"	"M-component IgA total"	"MM/M-component"	"285"	"53"	"PERSIMUNE_biochemistry"
"NPU19791"	"M-component IgM kappa"	"MM/M-component"	"540"	"28"	"PERSIMUNE_biochemistry"
"NPU19793"	"M-component IgM lambda"	"MM/M-component"	"157"	"12"	"PERSIMUNE_biochemistry"
"NPU28640"	"M-component IgD kappa"	"MM/M-component"	"6469"	"782"	"PERSIMUNE_biochemistry"
"NPU28641"	"M-component IgD lambda"	"MM/M-component"	"1984"	"296"	"PERSIMUNE_biochemistry"
"NPU28926"	"M-component IgD total"	"MM/M-component"	"121"	"39"	"PERSIMUNE_biochemistry"
"NPU28636"	"M-component free kappa"	"MM/M-component"	"69"	"18"	"PERSIMUNE_biochemistry"
"NPU28637"	"M-component free lambda"	"MM/M-component"	"94"	"19"	"PERSIMUNE_biochemistry"
"NPU28924"	"M-component free total"	"MM/M-component"	"35"	"16"	"PERSIMUNE_biochemistry"
"NPU28642"	"M-component other kappa"	"MM/M-component"	"13"	"13"	"PERSIMUNE_biochemistry"
"NPU28643"	"M-component other lambda"	"MM/M-component"	"27"	"15"	"PERSIMUNE_biochemistry"
"NPU28927"	"M-component other total"	"MM/M-component"	"14"	"14"	"PERSIMUNE_biochemistry"
"NPU02593"	"Creatinine"	"Biochemistry"	"1396945"	"18373"	"PERSIMUNE_biochemistry"
"NPU04998"	"C-reactive protein"	"Biochemistry"	"1033360"	"15188"	"PERSIMUNE_biochemistry"
"NPU02636"	"LDH"	"Biochemistry"	"919193"	"18232"	"PERSIMUNE_biochemistry"
"NPU01349"	"Albumin"	"Biochemistry"	"907323"	"18197"	"PERSIMUNE_biochemistry"
"NPU01143"	"Calcium (ionised)"	"MM/Calcium"	"0"	""	"PERSIMUNE_biochemistry"
"NPU17123"	"Calcium (total corr)"	"MM/Calcium"	"0"	""	"PERSIMUNE_biochemistry"
"NPU04169"	"Calcium (total)"	"MM/Calcium"	"70669"	"6074"	"PERSIMUNE_biochemistry"
"NPU03568"	"Calcium (total, common)"	"MM/Calcium"	"1294479"	"18353"	"PERSIMUNE_biochemistry"
"NPU02840"	"Glucose"	"Biochemistry"	"910308"	"18208"	"PERSIMUNE_biochemistry"
"NPU01933"	"Bilirubin (total)"	"CLL/Biochemistry"	"802122"	"16796"	"PERSIMUNE_biochemistry"
"NPU02902"	"IgG"	"CLL/Immunoglobulins"	"746408"	"16823"	"PERSIMUNE_biochemistry"
"NPU19679"	"Beta-2 microglobulin"	"MM/CLL staging"	"44"	"11"	"PERSIMUNE_biochemistry"
