"source_name"	"object_name"	"column"	"value"	"n"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"664038K"	"331"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"7601041"	"248"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"500061A"	"165"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"2000228"	"100"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"101"	"1823"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"751"	"1284"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"461"	"970"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"851"	"857"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"561"	"565"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"630"	"505"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"265"	"446"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"791"	"425"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"370"	"415"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"147"	"411"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"540"	"393"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"621"	"392"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"330"	"391"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"730"	"373"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"740"	"369"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"157"	"365"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"479"	"363"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"615"	"352"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"316"	"350"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"217"	"346"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"657"	"343"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"376"	"325"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"230"	"307"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"860"	"302"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"813"	"285"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"159"	"284"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"430"	"282"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"580"	"282"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"259"	"277"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"607"	"275"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"390"	"269"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"173"	"268"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"360"	"255"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"151"	"254"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"510"	"254"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"661"	"253"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"573"	"249"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"326"	"247"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"420"	"246"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"253"	"233"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"270"	"232"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"779"	"231"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"210"	"220"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"250"	"220"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"746"	"218"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"410"	"217"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"766"	"217"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"400"	"207"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"787"	"207"
"RKKP_LYFO"	"RKKP_LYFO"	"Kommunenr"	"167"	"205"
"RKKP_LYFO"	"RKKP_LYFO"	"ind_beh"	"Y"	"22205"
"RKKP_LYFO"	"RKKP_LYFO"	"ind_beh"	"N"	"4856"
"RKKP_LYFO"	"RKKP_LYFO"	"ind_relaps"	"N"	"20575"
"RKKP_LYFO"	"RKKP_LYFO"	"ind_relaps"	"Y"	"6486"
"RKKP_LYFO"	"RKKP_LYFO"	"ind_fu"	"N"	"19965"
"RKKP_LYFO"	"RKKP_LYFO"	"ind_fu"	"Y"	"7096"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"0"	"7117"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"1"	"5132"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"2"	"3667"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"3"	"2558"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"4"	"2073"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"5"	"1565"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"6"	"1214"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"7"	"935"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"8"	"849"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"9"	"748"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"10"	"631"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"11"	"414"
"RKKP_LYFO"	"RKKP_LYFO"	"ANTREG"	"12"	"158"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"1"	"13630"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"0"	"8351"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"2"	"3126"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"3"	"1168"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"4"	"465"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"5"	"178"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"6"	"83"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"7"	"34"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"8"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"10"	"7"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"9"	"4"
"RKKP_LYFO"	"RKKP_LYFO"	"ENODAL"	"11"	"3"
"RKKP_LYFO"	"RKKP_LYFO"	"IPI"	"2"	"9164"
"RKKP_LYFO"	"RKKP_LYFO"	"IPI"	"1"	"5800"
"RKKP_LYFO"	"RKKP_LYFO"	"IPI"	"3"	"5616"
"RKKP_LYFO"	"RKKP_LYFO"	"IPI"	"4"	"2425"
"RKKP_LYFO"	"RKKP_LYFO"	"IPI"	"0"	"2114"
