"database"	"schema"	"table"	"full_ref"
"import"	"_lookup_tables"	"TP53_seshat_db_EU_20241010"	"import._lookup_tables.TP53_seshat_db_EU_20241010"
"core"	"_lookup_tables"	"Codes_ATC_core"	"core._lookup_tables.Codes_ATC_core"
"core"	"_lookup_tables"	"CODES_B"	"core._lookup_tables.CODES_B"
"core"	"_lookup_tables"	"CODES_D"	"core._lookup_tables.CODES_D"
"core"	"_lookup_tables"	"CODES_E"	"core._lookup_tables.CODES_E"
"core"	"_lookup_tables"	"Codes_hospital"	"core._lookup_tables.Codes_hospital"
"core"	"_lookup_tables"	"CODES_K"	"core._lookup_tables.CODES_K"
"core"	"_lookup_tables"	"Codes_kommunekoder"	"core._lookup_tables.Codes_kommunekoder"
"core"	"_lookup_tables"	"CODES_M"	"core._lookup_tables.CODES_M"
"core"	"_lookup_tables"	"CODES_NPU_core"	"core._lookup_tables.CODES_NPU_core"
"core"	"_lookup_tables"	"CODES_NPU2PERSIMUNE"	"core._lookup_tables.CODES_NPU2PERSIMUNE"
"core"	"_lookup_tables"	"CODES_SNOMED"	"core._lookup_tables.CODES_SNOMED"
"core"	"_lookup_tables"	"CODES_subtypes_core"	"core._lookup_tables.CODES_subtypes_core"
"core"	"_lookup_tables"	"CODES_U"	"core._lookup_tables.CODES_U"
"core"	"_lookup_tables"	"CTCAEv4.0tov5.0Mapping_core"	"core._lookup_tables.CTCAEv4.0tov5.0Mapping_core"
"core"	"_lookup_tables"	"CTCAEv5.0CleanCopy_core"	"core._lookup_tables.CTCAEv5.0CleanCopy_core"
"core"	"_lookup_tables"	"CTCAEv5.0TrackedChanges_core"	"core._lookup_tables.CTCAEv5.0TrackedChanges_core"
"core"	"_lookup_tables"	"ICD10_to_ICDO3_core"	"core._lookup_tables.ICD10_to_ICDO3_core"
"core"	"_lookup_tables"	"ICDO3_to_ICD10_1_to_1_core"	"core._lookup_tables.ICDO3_to_ICD10_1_to_1_core"
"core"	"_lookup_tables"	"ICDO3_to_ICD10_1_to_m_core"	"core._lookup_tables.ICDO3_to_ICD10_1_to_m_core"
"core"	"_lookup_tables"	"IGHVIMGT060323"	"core._lookup_tables.IGHVIMGT060323"
"core"	"_lookup_tables"	"shakcomplete"	"core._lookup_tables.shakcomplete"
